ICD_CODE	ICD_NAME	IS_CURRENT_ICD	IP_USAGE	SNOMED_CID	SNOMED_FSN
43.11	Percutaneous [endoscopic] gastrostomy [PEG]	1	0.524655	235159007	Percutaneous endoscopic insertion of gastrostomy tube (procedure)
88.42	Aortography	1	0.519504	54640009	Aortography (procedure)
38.91	Arterial catheterization	1	0.516072	392247006	Insertion of catheter into artery (procedure)
99.15	Parenteral infusion of concentrated nutritional substances	1	0.51583	225372007	Total parenteral nutrition (regime/therapy)
45.25	Closed [endoscopic] biopsy of large intestine	1	0.491712	80050006	Endoscopic biopsy of large intestine (procedure)
80.51	Excision of intervertebral disc	1	0.472257	3418002	Chondrectomy of spine (procedure)
51.23	Laparoscopic cholecystectomy	1	0.455936	45595009	Laparoscopic cholecystectomy (procedure)
37.83	Initial insertion of dual-chamber device	1	0.427532	58863009	Initial implantation of cardiac dual-chamber device (procedure)
37.72	Initial insertion of transvenous leads [electrodes] into atrium and ventricle	1	0.42712	87825006	Initial implantation of electrode into cardiac atrium and ventricle (procedure)
86.22	Excisional debridement of wound, infection, or burn	1	0.422327	225148005	Surgical debridement of wound (procedure)
79.35	Open reduction of fracture of femur with internal fixation	1	0.421961	57470004	Open reduction of fracture of femur with internal fixation (procedure)
36.15	Single internal mammary-coronary artery bypass	1	0.419966	359597003	Single internal mammary-coronary artery bypass (procedure)
59.8	Ureteral catheterization	1	0.383637	53248001	Catheterization of ureter (procedure)
88.01	Computerized axial tomography of abdomen	1	0.379634	169070004	Computed tomography of abdomen (procedure)
99.19	Injection of anticoagulant	1	0.354579	71788004	Administration of anticoagulant (procedure)
81.52	Partial hip replacement	1	0.354365	386649003	Partial hip replacement by prosthesis (procedure)
04.81	Injection of anesthetic into peripheral nerve for analgesia	1	0.342693	276934000	Injection of anesthetic agent into peripheral nerve for analgesia (procedure)
03.31	Spinal tap	1	0.338522	265232001	Diagnostic lumbar puncture (procedure)
45.42	Endoscopic polypectomy of large intestine	1	0.334691	28939002	Endoscopic polypectomy of large intestine (procedure)
87.41	Computerized axial tomography of thorax	1	0.326245	169069000	Computed tomography of chest (procedure)
36.06	Insertion of coronary artery stent(s)	1	0.324871	36969009	Placement of stent in coronary artery (procedure)
37.23	Combined right and left heart cardiac catheterization	1	0.315984	34975003	Catheterization of both left and right heart (procedure)
38.7	Interruption of the vena cava	1	0.307818	31952006	Interruption of vena cava (procedure)
88.91	Magnetic resonance imaging of brain and brain stem	1	0.294122	29567006	Magnetic resonance imaging of brain and brain stem (procedure)
99.60	Cardiopulmonary resuscitation, not otherwise specified	1	0.291476	89666000	Cardiopulmonary resuscitation (procedure)
99.23	Injection of steroid	1	0.288082	296778005	Injection of steroid (procedure)
81.07	Lumbar and lumbosacral fusion of the posterior column, posterior technique	1	0.278323	34238000	Lumbar and lumbosacral fusion by posterior technique (procedure)
93.94	Respiratory medication administered by nebulizer	1	0.277714	56251003	Nebulizer therapy (procedure)
88.41	Arteriography of cerebral arteries	1	0.249302	3258003	Arteriography of cerebral arteries (procedure)
79.15	Closed reduction of fracture of femur with internal fixation	1	0.246303	272300006	Closed reduction of fracture of femur with internal fixation (procedure)
99.52	Prophylactic vaccination against influenza	1	0.223029	86198006	Influenza vaccination (procedure)
31.1	Temporary tracheostomy	1	0.219639	43988005	Temporary tracheostomy (procedure)
88.77	Diagnostic ultrasound of peripheral vascular system	1	0.213467	48526000	Ultrasound peripheral vascular flow study (procedure)
87.74	Retrograde pyelogram	1	0.205103	405250000	Retrograde pyelogram (procedure)
81.91	Arthrocentesis	1	0.200582	90131007	Arthrocentesis (procedure)
87.53	Intraoperative cholangiogram	1	0.195711	63243008	Intraoperative cholangiogram (procedure)
36.12	(Aorto)coronary bypass of two coronary arteries	1	0.187795	90487008	Aortocoronary bypass of two coronary arteries (procedure)
41.31	Biopsy of bone marrow	1	0.181801	234326005	Bone marrow sampling (procedure)
89.52	Electrocardiogram	1	0.180484	29303009	Electrocardiographic procedure (procedure)
99.18	Injection or infusion of electrolytes	1	0.17609	449364006	Injection of electrolyte (procedure)
79.36	Open reduction of fracture of tibia and fibula with internal fixation	1	0.17514	74011006	Open reduction of fracture of tibia and fibula with internal fixation (procedure)
94.62	Alcohol detoxification	1	0.173054	64297001	Detoxication psychiatric therapy for alcoholism (regime/therapy)
86.07	Insertion of totally implantable vascular access device [VAD]	1	0.171174	233473005	Insertion of graft for vascular access (procedure)
86.05	Incision with removal of foreign body or device from skin and subcutaneous tissue	1	0.1698	445773009	Removal of foreign body from skin and/or subcutaneous tissue by incision (procedure)
40.3	Regional lymph node excision	1	0.164879	21525004	Excision of regional lymph nodes (procedure)
33.22	Fiber-optic bronchoscopy	1	0.160605	85765000	Fiberoptic bronchoscopy (procedure)
84.11	Amputation of toe	1	0.159593	371186005	Amputation of toe (procedure)
89.14	Electroencephalogram	1	0.159292	54550000	Electroencephalogram (procedure)
54.51	Laparoscopic lysis of peritoneal adhesions	1	0.155561	264971004	Endoscopic division of adhesions of peritoneum (procedure)
89.45	Artificial pacemaker rate check	1	0.154302	81220003	Artificial pacemaker rate check (procedure)
35.21	Replacement of aortic valve with tissue graft	1	0.147069	441895005	Replacement of aortic valve with tissue graft (procedure)
99.61	Atrial cardioversion	1	0.143868	26879000	Atrial cardioversion (procedure)
37.26	Catheter based invasive electrophysiologic testing	1	0.143572	82982002	Cardiac electrophysiologic stimulation and recording study (procedure)
51.22	Cholecystectomy	1	0.141284	38102005	Cholecystectomy (procedure)
81.92	Injection of therapeutic substance into joint or ligament	1	0.137524	66775000	Injection of therapeutic substance into joint (procedure)
86.27	Debridement of nail, nail bed, or nail fold	1	0.136866	446100009	Debridement of nail (procedure)
40.11	Biopsy of lymphatic structure	1	0.135175	90807000	Biopsy of lymphatic structure (procedure)
51.88	Endoscopic removal of stone(s) from biliary tract	1	0.134463	449422005	Endoscopic removal of calculus from biliary tract (procedure)
36.13	(Aorto)coronary bypass of three coronary arteries	1	0.131859	14323007	Aortocoronary bypass of three coronary arteries (procedure)
42.92	Dilation of esophagus	1	0.124688	195565004	Dilation of esophagus (procedure)
51.87	Endoscopic insertion of stent (tube) into bile duct	1	0.12131	83735008	Insertion of biliary stent by endoscopic retrograde cholangiopancreatography (procedure)
37.61	Implant of pulsation balloon	1	0.120372	16965008	Insertion of intra-aortic balloon counterpulsation (procedure)
89.65	Measurement of systemic arterial blood gases	1	0.118327	91308007	Blood gases, arterial measurement (procedure)
00.94	Intra-operative neurophysiologic monitoring	1	0.117447	252793002	Intraoperative neurophysiological monitoring (regime/therapy)
88.76	Diagnostic ultrasound of abdomen and retroperitoneum	1	0.117373	1044001	Diagnostic ultrasound of abdomen and retroperitoneum (procedure)
36.11	(Aorto)coronary bypass of one coronary artery	1	0.116715	29819009	Aortocoronary bypass of one coronary artery (procedure)
45.24	Flexible sigmoidoscopy	1	0.112428	44441009	Flexible fiberoptic sigmoidoscopy (procedure)
54.98	Peritoneal dialysis	1	0.110597	71192002	Peritoneal dialysis (procedure)
88.51	Angiocardiography of venae cavae	1	0.10912	4438009	Venography of vena cava (procedure)
37.94	Implantation or replacement of automatic cardioverter/defibrillator, total system [AICD]	1	0.108178	45965006	Implantation of automatic cardioverter/defibrillator, total system (procedure)
60.5	Radical prostatectomy	1	0.107108	26294005	Radical prostatectomy (procedure)
00.24	Intravascular imaging of coronary vessels	1	0.107059	33367005	Coronary angiography (procedure)
89.64	Pulmonary artery wedge monitoring	1	0.106643	42340005	Pulmonary artery wedge pressure monitoring (regime/therapy)
78.55	Internal fixation of femur without fracture reduction	1	0.105656	11964008	Internal fixation of femur without fracture reduction (procedure)
54.4	Excision of lesion of the mesentery	1	0.105574	64772004	Excision of lesion of mesentery (procedure)
88.71	Diagnostic ultrasound of head and neck	1	0.105257	23931002	Ultrasonography of head and neck (procedure)
37.27	Cardiac mapping	1	0.104417	21032000	Cardiac mapping (procedure)
38.18	Endarterectomy of lower limb arteries	1	0.100118	40455006	Endarterectomy of lower limb artery (procedure)
97.02	Replacement of gastrostomy tube	1	0.097399	6125005	Change of gastrostomy tube (procedure)
57.0	Transurethral clearance of bladder	1	0.094042	86561003	Transurethral clearance of bladder (procedure)
37.21	Right heart cardiac catheterization	1	0.093844	40403005	Catheterization of right heart (procedure)
40.29	Simple lymphadenectomy	1	0.092347	58347006	Excision of lymph node (procedure)
46.10	Colostomy, not otherwise specified	1	0.09133	398740003	Colostomy (procedure)
03.90	Insertion of catheter into spinal canal for infusion of therapeutic or palliative substances	1	0.0901	61820001	Insertion of catheter into spinal canal for infusion of therapeutic substance (procedure)
99.17	Injection of insulin	1	0.088878	39543009	Administration of insulin (procedure)
88.45	Arteriography of renal arteries	1	0.088627	79516005	Renal arteriography (procedure)
39.27	Arteriovenostomy for renal dialysis	1	0.085056	79827002	Arteriovenous anastomosis for renal dialysis (procedure)
01.31	Incision of cerebral meninges	1	0.083098	81259007	Incision of cerebral meninges (procedure)
38.99	Phlebotomy	1	0.08267	396540005	Phlebotomy (procedure)
55.51	Nephroureterectomy	1	0.081209	175907006	Nephroureterectomy (procedure)
03.91	Injection of anesthetic into spinal canal for analgesia	1	0.081078	16388003	Injection of spinal anesthetic agent for analgesia (procedure)
47.01	Laparoscopic appendectomy	1	0.079572	6025007	Laparoscopic appendectomy (procedure)
17.33	Laparoscopic right hemicolectomy	1	0.07928	50774009	Laparoscopic-assisted right colectomy (procedure)
56.0	Transurethral removal of obstruction from ureter and renal pelvis	1	0.078383	19157005	Transurethral removal of obstruction from ureter and renal pelvis (procedure)
84.17	Amputation above knee	1	0.076536	79733001	Amputation above-knee (procedure)
48.24	Closed [endoscopic] biopsy of rectum	1	0.075474	274324002	Endoscopic biopsy of rectum (procedure)
79.31	Open reduction of fracture of humerus with internal fixation	1	0.075108	37053006	Open reduction of fracture of humerus with internal fixation (procedure)
54.21	Laparoscopy	1	0.074215	73632009	Laparoscopy (procedure)
88.93	Magnetic resonance imaging of spinal canal	1	0.073907	445946004	Magnetic resonance imaging of spinal cord (procedure)
94.65	Drug detoxification	1	0.072035	61480009	Drug detoxification (regime/therapy)
88.75	Diagnostic ultrasound of urinary system	1	0.071266	77658008	Ultrasonography of urinary system (procedure)
88.55	Coronary arteriography using a single catheter	1	0.069953	175166003	Coronary arteriography using single catheter (procedure)
79.32	Open reduction of fracture of radius and ulna with internal fixation	1	0.069698	608785007	Open reduction of fracture of radius and ulna with internal fixation (procedure)
93.22	Ambulation and gait training	1	0.069686	359665005	Ambulation training (procedure)
55.23	Closed [percutaneous] [needle] biopsy of kidney	1	0.069389	769246001	Closed biopsy of kidney (procedure)
93.54	Application of splint	1	0.067604	79321009	Application of splint (procedure)
34.92	Injection into thoracic cavity	1	0.064819	177823008	Introduction of substance into pleural cavity (procedure)
81.88	Reverse total shoulder replacement	1	0.064378	280464000	Revision of shoulder arthroplasty (procedure)
88.54	Combined right and left heart angiocardiography	1	0.062404	175162001	Angiocardiography of bilateral sides of heart (procedure)
32.20	Thoracoscopic excision of lesion or tissue of lung	1	0.061289	444188003	Thoracoscopic wedge resection of lung (procedure)
93.01	Functional evaluation	1	0.05982	12894003	Functional assessment (procedure)
89.19	Video and radio-telemetered electroencephalographic monitoring	1	0.059622	27808002	Video and radio-telemetered electroencephalographic monitoring (regime/therapy)
51.10	Endoscopic retrograde cholangiopancreatography [ERCP]	1	0.057162	386718000	Endoscopic retrograde cholangiopancreatography (procedure)
93.81	Recreation therapy	1	0.055895	42364006	Recreational therapy (regime/therapy)
89.61	Systemic arterial pressure monitoring	1	0.05355	42826002	Systemic arterial pressure monitoring (regime/therapy)
97.23	Replacement of tracheostomy tube	1	0.052698	2267008	Changing tracheostomy tube (procedure)
00.63	Percutaneous insertion of carotid artery stent(s)	1	0.052501	425611003	Percutaneous transluminal insertion of stent into carotid artery (procedure)
48.23	Rigid proctosigmoidoscopy	1	0.05218	13004001	Rigid proctosigmoidoscopy (procedure)
39.63	Cardioplegia	1	0.051875	8290005	Induced cardioplegia (procedure)
36.14	(Aorto)coronary bypass of four or more coronary arteries	1	0.051439	10190003	Aortocoronary bypass of four or more coronary arteries (procedure)
70.50	Repair of cystocele and rectocele	1	0.051411	13910004	Combined anteroposterior colporrhaphy (procedure)
58.6	Dilation of urethra	1	0.051188	30253003	Dilation of urethra (procedure)
53.71	Laparoscopic repair of diaphragmatic hernia, abdominal approach	1	0.050703	52917009	Repair of diaphragmatic hernia by abdominal approach (procedure)
53.51	Incisional hernia repair	1	0.050575	238187004	Repair of incisional hernia (procedure)
44.38	Laparoscopic gastroenterostomy	1	0.049674	307195003	Laparoscopic gastroenterostomy (procedure)
88.74	Diagnostic ultrasound of digestive system	1	0.049609	23738001	Ultrasonography of digestive system (procedure)
46.39	Feeding enterostomy	1	0.049386	62937006	Feeding enterostomy of jejunum (procedure)
38.08	Incision of lower limb arteries	1	0.04851	62806005	Incision of artery of lower limb (procedure)
39.42	Revision of arteriovenous shunt for renal dialysis	1	0.047807	225892009	Revision of arteriovenous shunt for renal dialysis (procedure)
46.52	Closure of stoma of large intestine	1	0.045647	7223004	Take-down of stoma of large intestine (procedure)
17.36	Laparoscopic sigmoidectomy	1	0.04489	1390003	Laparoscopic-assisted sigmoid colectomy (procedure)
43.41	Endoscopic excision or destruction of lesion or tissue of stomach	1	0.044844	42527001	Endoscopic excision of lesion of stomach (procedure)
80.76	Synovectomy of knee	1	0.044388	76992000	Excision of knee joint synovium (procedure)
54.11	Exploratory laparotomy	1	0.044289	74770008	Exploratory laparotomy (procedure)
37.81	Initial insertion of single-chamber device, not specified as rate responsive	1	0.043771	54866009	Initial implantation of cardiac single-chamber device (procedure)
45.91	Small-to-small intestinal anastomosis	1	0.043762	44119001	Anastomosis of small intestine to small intestine (procedure)
54.0	Incision of abdominal wall	1	0.043289	112978005	Incision of abdominal wall (procedure)
84.12	Amputation through foot	1	0.04319	211570009	Amputation through foot (procedure)
45.94	Large-to-large intestinal anastomosis	1	0.0418	287794009	Large to large bowel anastomosis (procedure)
88.43	Arteriography of pulmonary arteries	1	0.041454	84200003	Arteriography of pulmonary arteries (procedure)
21.01	Control of epistaxis by anterior nasal packing	1	0.040471	365958005	Packing of anterior nasal cavity (procedure)
81.81	Partial shoulder replacement	1	0.040175	69639007	Partial shoulder replacement (procedure)
85.41	Unilateral simple mastectomy	1	0.039936	172043006	Simple mastectomy (procedure)
51.01	Percutaneous aspiration of gallbladder	1	0.039348	253665000	Percutaneous aspiration of gallbladder for drainage (procedure)
87.44	Routine chest x-ray, so described	1	0.039097	168731009	Standard chest X-ray (procedure)
79.75	Closed reduction of dislocation of hip	1	0.038599	65824001	Closed manipulation of dislocation of hip (procedure)
37.12	Pericardiotomy	1	0.038525	13830001	Incision of pericardium (procedure)
99.14	Injection or infusion of immunoglobulin	1	0.038019	48556009	Administration of immune serum (procedure)
40.23	Excision of axillary lymph node	1	0.037752	234262008	Excision of axillary lymph node (procedure)
46.20	Ileostomy, not otherwise specified	1	0.037291	301784005	Ileostomy operation (procedure)
54.25	Peritoneal lavage	1	0.036772	387715005	Peritoneal lavage (procedure)
92.15	Pulmonary scan	1	0.03667	441677009	Imaging of lung (procedure)
83.88	Tenoplasty	1	0.036176	178155009	Plastic repair of tendon (procedure)
70.77	Vaginal suspension and fixation	1	0.036085	180821004	Vaginal suspension and fixation (procedure)
35.12	Open heart valvuloplasty of mitral valve without replacement	1	0.035275	74406002	Open heart valvuloplasty of mitral valve without replacement (procedure)
55.93	Replacement of nephrostomy tube	1	0.035127	23491005	Replacement of nephrostomy tube (procedure)
84.3	Revision of amputation stump	1	0.034592	180045004	Amputation stump procedure (procedure)
99.71	Therapeutic plasmapheresis	1	0.034551	20720000	Plasmapheresis (procedure)
41.5	Total splenectomy	1	0.034217	174776001	Total splenectomy (procedure)
37.82	Initial insertion of single-chamber device, rate responsive	1	0.034036	23999003	Implantation of rate-responsive cardiac single-chamber device (procedure)
06.4	Complete thyroidectomy	1	0.033403	24443003	Total thyroidectomy (procedure)
46.51	Closure of stoma of small intestine	1	0.032629	66782001	Closure of stoma of small intestine (procedure)
54.23	Biopsy of peritoneum	1	0.032485	29481005	Biopsy of peritoneum (procedure)
56.31	Ureteroscopy	1	0.032341	387717002	Ureteroscopy (procedure)
97.05	Replacement of stent (tube) in biliary or pancreatic duct	1	0.032016	398216007	Replacement of stent in biliary tree (procedure)
86.01	Aspiration of skin and subcutaneous tissue	1	0.03184	445860001	Aspiration of skin and/or subcutaneous tissue (procedure)
89.62	Central venous pressure monitoring	1	0.031765	86265008	Central venous pressure monitoring (regime/therapy)
97.62	Removal of ureterostomy tube and ureteral catheter	1	0.031712	51661001	Removal of ureterostomy tube and ureteral catheter (procedure)
40.41	Radical neck dissection, unilateral	1	0.031292	72604007	Unilateral radical dissection of neck (situation)
34.20	Thoracoscopic pleural biopsy	1	0.031074	116024005	Thoracoscopic biopsy of pleura (procedure)
37.87	Replacement of any type pacemaker device with dual-chamber device	1	0.030988	384683008	Replacement of cardiac pacemaker device with dual-chamber device (procedure)
32.41	Thoracoscopic lobectomy of lung	1	0.030848	75935006	Thoracoscopic lobectomy of lung (procedure)
35.33	Annuloplasty	1	0.030725	58204008	Reconstruction of annulus of cardiac valve (procedure)
99.74	Therapeutic plateletpheresis	1	0.030251	72541002	Plateletpheresis (procedure)
68.41	Laparoscopic total abdominal hysterectomy	1	0.030099	236887006	Laparoscopic hysterectomy (procedure)
74.1	Low cervical cesarean section	1	0.03005	398307005	Low cervical cesarean section (procedure)
54.3	Debridement of abdominal wall	1	0.029955	68436001	Debridement of abdominal wall (procedure)
83.63	Rotator cuff repair	1	0.029803	56060000	Repair of musculotendinous cuff of shoulder (procedure)
70.51	Repair of cystocele	1	0.029717	359927001	Repair of cystocele (procedure)
77.70	Excision of bone for graft, unspecified site	1	0.029215	90915003	Excision of bone for graft (procedure)
93.11	Assisting exercise	1	0.029145	60955009	Assisting exercise (regime/therapy)
55.4	Partial nephrectomy	1	0.028853	81516001	Partial nephrectomy (procedure)
35.23	Replacement of mitral valve with tissue graft	1	0.028713	50216001	Replacement of mitral valve with tissue graft (procedure)
68.51	Laparoscopically assisted vaginal hysterectomy (LAVH)	1	0.028437	75835007	Laparoscopic-assisted vaginal hysterectomy (procedure)
37.0	Pericardiocentesis	1	0.028367	309849004	Pericardiocentesis (procedure)
88.94	Magnetic resonance imaging of musculoskeletal structures	1	0.028326	58713006	Magnetic resonance imaging of musculoskeletal structures (procedure)
38.44	Resection of abdominal aorta with replacement	1	0.027832	79553004	Resection of abdominal aorta with replacement (procedure)
94.68	Combined alcohol and drug detoxification	1	0.027754	87106005	Combined alcohol and drug detoxification (regime/therapy)
39.31	Suture of artery	1	0.027635	67727001	Repair of artery with suture (procedure)
37.75	Revision of pacemaker lead [electrode]	1	0.027544	55455004	Revision of pacemaker electrode leads (procedure)
56.51	Formation of cutaneous uretero-ileostomy	1	0.027211	243775002	Construction of cutaneous ureteroileostomy (procedure)
50.14	Laparoscopic liver biopsy	1	0.027071	15050001	Laparoscopic biopsy of liver (procedure)
87.61	Barium swallow	1	0.026261	168821007	Barium swallow (procedure)
46.32	Percutaneous (endoscopic) jejunostomy [PEJ]	1	0.026162	359578003	Percutaneous endoscopy through jejunostomy (procedure)
39.98	Control of hemorrhage, not otherwise specified	1	0.025841	51241000	Control of hemorrhage (procedure)
02.2	Ventriculostomy	0	0.025676	63933000	Ventriculostomy (procedure)
51.84	Endoscopic dilation of ampulla and biliary duct	1	0.025401	302207003	Endoscopic dilatation of bile duct (procedure)
39.25	Aorta-iliac-femoral bypass	1	0.025277	86868001	Aortoiliofemoral vascular bypass (procedure)
37.77	Removal of pacemaker lead(s) [electrode] without replacement	1	0.024903	77326008	Removal of pacemaker electrode leads without replacement (procedure)
46.01	Exteriorization of small intestine	1	0.024594	87150006	Enterostomy (procedure)
34.22	Mediastinoscopy	1	0.024529	261479009	Mediastinoscopy (procedure)
87.51	Percutaneous hepatic cholangiogram	1	0.02452	174681004	Percutaneous cholangiogram (procedure)
57.95	Replacement of indwelling urinary catheter	1	0.024504	447379005	Replacement of indwelling catheter of urinary bladder (procedure)
57.71	Radical cystectomy	1	0.024068	64063003	Radical cystectomy (procedure)
50.12	Open biopsy of liver	1	0.023944	82531008	Open biopsy of liver (procedure)
34.51	Decortication of lung	1	0.023899	177784006	Decortication of lung (procedure)
46.03	Exteriorization of large intestine	1	0.023603	85849005	Exteriorization of large intestine (procedure)
98.02	Removal of intraluminal foreign body from esophagus without incision	1	0.023405	63065004	Esophagoscopy for removal of foreign body (procedure)
57.17	Percutaneous cystostomy	1	0.023212	129250002	Percutaneous urinary vesicostomy (procedure)
21.03	Control of epistaxis by cauterization (and packing)	1	0.022945	443086008	Cauterization and packing of nose (procedure)
89.41	Cardiovascular stress test using treadmill	1	0.022772	80635001	Cardiovascular stress test using treadmill (procedure)
54.95	Incision of peritoneum	1	0.022542	41457005	Incision of peritoneum (procedure)
97.82	Removal of peritoneal drainage device	1	0.022151	13176000	Removal of peritoneal drainage device (procedure)
03.53	Repair of vertebral fracture	1	0.022118	64124008	Repair of vertebral fracture (procedure)
89.09	Consultation, not otherwise specified	1	0.022068	11429006	Consultation (procedure)
92.24	Teleradiotherapy using photons	1	0.02185	10611004	Teleradiotherapy protons (procedure)
83.14	Fasciotomy	1	0.021817	13885002	Division of fascia (procedure)
96.38	Removal of impacted feces	1	0.021542	1339004	Removal of impacted feces (procedure)
93.38	Combined physical therapy without mention of the components	1	0.021357	183326003	Combined physical therapy (regime/therapy)
52.11	Closed [aspiration] [needle] [percutaneous] biopsy of pancreas	1	0.021258	174771006	Needle biopsy of pancreas (procedure)
59.94	Replacement of cystostomy tube	1	0.020777	79165006	Change of cystostomy tube (procedure)
39.52	Repair of aneurysm by suture	1	0.020423	50971006	Repair of aneurysm by suture (procedure)
37.28	Intracardiac echocardiography	1	0.020135	425789000	Transluminal intracardiac echocardiography (procedure)
52.7	Radical pancreaticoduodenectomy	1	0.020007	287846000	Radical pancreaticoduodenectomy (procedure)
70.52	Repair of rectocele	1	0.019863	398243002	Repair of rectocele (procedure)
06.2	Unilateral thyroid lobectomy	1	0.019851	302338000	Lobectomy of thyroid gland (procedure)
86.4	Radical excision of skin lesion	1	0.019711	44166002	Radical excision of skin lesion (procedure)
38.21	Biopsy of blood vessel	1	0.019682	34633002	Biopsy of blood vessel (procedure)
52.93	Endoscopic insertion of stent (tube) into pancreatic duct	1	0.019625	112886009	Endoscopic insertion of stent into pancreatic duct (procedure)
37.76	Replacement of transvenous atrial and/or ventricular lead(s) [electrode]	1	0.019579	4090005	Replacement of transvenous atrial and ventricular pacemaker electrode leads (procedure)
44.42	Suture of duodenal ulcer site	1	0.019518	307260009	Suture of duodenal ulcer (procedure)
34.21	Transpleural thoracoscopy	1	0.018872	14671001	Thoracoscopy (procedure)
79.66	Debridement of open fracture of tibia and fibula	1	0.018847	67872001	Debridement of open fracture of tibia and fibula (procedure)
77.67	Local excision of lesion or tissue of tibia and fibula	1	0.018826	57330007	Local excision of lesion or tissue of tibia and fibula (procedure)
97.44	Intra-aortic balloon pump [IABP]	1	0.01874	399052009	Aortic balloon pump operation (procedure)
83.5	Bursectomy	1	0.018588	83876008	Bursectomy (procedure)
94.66	Drug rehabilitation and detoxification	1	0.018526	56876005	Drug rehabilitation and detoxification (regime/therapy)
77.65	Local excision of lesion or tissue of femur	1	0.018522	54312007	Excision of lesion of femur (procedure)
94.38	Supportive verbal psychotherapy	1	0.018419	85925008	Supportive verbal psychotherapy (regime/therapy)
92.14	Bone scan	1	0.018234	41747008	Radioisotope scan of bone (procedure)
46.42	Repair of pericolostomy hernia	1	0.018032	238203006	Repair of paracolostomy hernia (procedure)
48.81	Incision of perirectal tissue	1	0.017917	49801005	Incision of perirectal tissue (procedure)
97.51	Removal of gastrostomy tube	1	0.017798	90838004	Removal of gastrostomy tube (procedure)
50.91	Percutaneous aspiration of liver	1	0.017724	24365002	Percutaneous aspiration of liver (procedure)
45.82	Open total intra-abdominal colectomy	1	0.017658	26390003	Total colectomy (procedure)
43.7	Partial gastrectomy with anastomosis to jejunum	1	0.017535	83985009	Resection of stomach with gastrojejunal anastomosis (procedure)
93.56	Application of pressure dressing	1	0.01751	26906007	Application of dressing, pressure (procedure)
85.95	Insertion of breast tissue expander	1	0.017374	319175008	Insertion of tissue expander into breast (procedure)
99.06	Transfusion of coagulation factors	1	0.017279	74287006	Transfusion of coagulation factors (procedure)
29.11	Pharyngoscopy	1	0.017148	392102003	Endoscopy of pharynx (procedure)
39.43	Removal of arteriovenous shunt for renal dialysis	1	0.016893	39482009	Removal of arteriovenous shunt for renal dialysis (procedure)
94.63	Alcohol rehabilitation and detoxification	1	0.016473	20093000	Alcohol rehabilitation and detoxification (regime/therapy)
02.12	Closure of fistula of cerebrospinal fluid	1	0.016453	260397005	Closure of fistula of cerebrospinal fluid (procedure)
50.22	Partial hepatectomy	1	0.016128	71273005	Partial hepatectomy (procedure)
97.03	Replacement of tube or enterostomy device of small intestine	1	0.016107	28919001	Replacement of tube or enterostomy device of small intestine (procedure)
54.93	Creation of cutaneoperitoneal fistula	1	0.015877	71382001	Creation of cutaneoperitoneal fistula (procedure)
38.03	Incision of upper limb vessels	1	0.0157	449304008	Incision of vascular structure of upper limb (procedure)
92.02	Liver scan and radioisotope function study	1	0.015589	386550008	Radioisotope function study of liver (procedure)
81.97	Revision of joint replacement of upper extremity	1	0.015173	609184005	Revision of replacement of joint of upper limb (procedure)
99.38	Administration of tetanus toxoid	1	0.015169	127786006	Tetanus vaccination (procedure)
38.16	Endarterectomy of abdominal arteries	1	0.015074	7642007	Endarterectomy of abdominal artery (procedure)
35.96	Percutaneous valvuloplasty	1	0.015017	68860005	Percutaneous valvuloplasty (procedure)
